model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	fss
NAMnest_mem000	REFC	000000	>=40	361	0.3107867741935484
NAMnest_mem000	REFC	010000	>=40	361	0.24796293548387097
NAMnest_mem000	REFC	020000	>=40	361	0.22464464516129032
NAMnest_mem000	REFC	030000	>=40	361	0.2022016129032258
NAMnest_mem000	REFC	040000	>=40	361	0.2127411935483871
NAMnest_mem000	REFC	050000	>=40	361	0.21307370967741937
NAMnest_mem000	REFC	060000	>=40	361	0.19259900000000002
NAMnest_mem000	REFC	070000	>=40	361	0.1670639258064516
NAMnest_mem000	REFC	080000	>=40	361	0.16126031612903227
NAMnest_mem000	REFC	090000	>=40	361	0.16502988709677419
NAMnest_mem000	REFC	100000	>=40	361	0.17165721487419355
NAMnest_mem000	REFC	110000	>=40	361	0.1754503529032258
NAMnest_mem000	REFC	120000	>=40	361	0.1966912029032258
NAMnest_mem000	REFC	130000	>=40	361	0.1677970977419355
NAMnest_mem000	REFC	140000	>=40	361	0.17717749677419356
NAMnest_mem000	REFC	150000	>=40	361	0.15203195483870968
NAMnest_mem000	REFC	160000	>=40	361	0.1472931322580645
NAMnest_mem000	REFC	170000	>=40	361	0.15230454193548387
NAMnest_mem000	REFC	180000	>=40	361	0.14115761612903224
NAMnest_mem000	REFC	190000	>=40	361	0.1534213322580645
NAMnest_mem000	REFC	200000	>=40	361	0.15307890322580647
NAMnest_mem000	REFC	210000	>=40	361	0.15430919354838707
NAMnest_mem000	REFC	220000	>=40	361	0.15019548387096773
NAMnest_mem000	REFC	230000	>=40	361	0.1561623548387097
NAMnest_mem000	REFC	240000	>=40	361	0.1443758064516129
NAMnest_mem000	REFC	250000	>=40	361	0.12626293548387096
NAMnest_mem000	REFC	260000	>=40	361	0.12240651612903225
NAMnest_mem000	REFC	270000	>=40	361	0.1190689064516129
NAMnest_mem000	REFC	280000	>=40	361	0.13030090967741936
NAMnest_mem000	REFC	290000	>=40	361	0.1427788
NAMnest_mem000	REFC	300000	>=40	361	0.14030107741935482
NAMnest_mem000	REFC	310000	>=40	361	0.12141305806451613
NAMnest_mem000	REFC	320000	>=40	361	0.10843833967741937
NAMnest_mem000	REFC	330000	>=40	361	0.1124096693548387
NAMnest_mem000	REFC	340000	>=40	361	0.10004100816129033
NAMnest_mem000	REFC	350000	>=40	361	0.08373761612903226
NAMnest_mem000	REFC	360000	>=40	361	0.09326407608387095
NAMnest_mem000	REFC	370000	>=40	361	0.10413260129032259
NAMnest_mem000	REFC	380000	>=40	361	0.09645205806451612
NAMnest_mem000	REFC	390000	>=40	361	0.08679161032258065
NAMnest_mem000	REFC	400000	>=40	361	0.07655688319354839
NAMnest_mem000	REFC	410000	>=40	361	0.07073334677419355
NAMnest_mem000	REFC	420000	>=40	361	0.07328144451612903
NAMnest_mem000	REFC	430000	>=40	361	0.08958143548387097
NAMnest_mem000	REFC	440000	>=40	361	0.08617546774193548
NAMnest_mem000	REFC	450000	>=40	361	0.09275658064516129
NAMnest_mem000	REFC	460000	>=40	361	0.0929403870967742
NAMnest_mem000	REFC	470000	>=40	361	0.09469322580645162
NAMnest_mem000	REFC	480000	>=40	361	0.10678591935483871
NAMnest_mem000	REFC	490000	>=40	361	0.10203097741935484
NAMnest_mem000	REFC	500000	>=40	361	0.09699640645161291
NAMnest_mem000	REFC	510000	>=40	361	0.09646232258064516
NAMnest_mem000	REFC	520000	>=40	361	0.09442005806451613
NAMnest_mem000	REFC	530000	>=40	361	0.09092259999999999
NAMnest_mem000	REFC	540000	>=40	361	0.08757903870967743
NAMnest_mem000	REFC	550000	>=40	361	0.07774825161290322
NAMnest_mem000	REFC	560000	>=40	361	0.07295233903225806
NAMnest_mem000	REFC	570000	>=40	361	0.08817267322580645
NAMnest_mem000	REFC	580000	>=40	361	0.08775400645161291
NAMnest_mem000	REFC	590000	>=40	361	0.0741571764516129
NAMnest_mem000	REFC	600000	>=40	361	0.07268019451612903
